"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7357","test_tutorial_flow3","tests","Mon Oct 07 13:36:03 MSK 2024","passed","Mon Oct 07 13:36:11 MSK 2024","","test_check_tutorial_flow","",""
"","12204","test_create_enrich_flow","tests","Mon Oct 07 13:39:03 MSK 2024","broken","Mon Oct 07 13:39:15 MSK 2024","","test_enrich_flow","",""
"","10343","test_external_source_create_postgres","tests","Mon Oct 07 13:36:36 MSK 2024","broken","Mon Oct 07 13:36:47 MSK 2024","","test_external_source_create","",""
"","1688","test_rename_node","tests","Mon Oct 07 13:39:17 MSK 2024","broken","Mon Oct 07 13:39:19 MSK 2024","","test_rename_flow","",""
"","6796","test_tutorial_flow4","tests","Mon Oct 07 13:36:11 MSK 2024","passed","Mon Oct 07 13:36:17 MSK 2024","","test_check_tutorial_flow","",""
"","5447","test_tutorial_flow6","tests","Mon Oct 07 13:36:22 MSK 2024","passed","Mon Oct 07 13:36:28 MSK 2024","","test_check_tutorial_flow","",""
"","4955","test_tutorial_flow5","tests","Mon Oct 07 13:36:17 MSK 2024","passed","Mon Oct 07 13:36:22 MSK 2024","","test_check_tutorial_flow","",""
"","6790","test_delete_flow","tests","Mon Oct 07 13:37:39 MSK 2024","passed","Mon Oct 07 13:37:46 MSK 2024","","test_create_delete_flow","",""
"","6881","test_external_source_create_snowflake","tests","Mon Oct 07 13:36:47 MSK 2024","broken","Mon Oct 07 13:36:54 MSK 2024","","test_external_source_create","",""
"","10725","test_add_contactout","tests","Mon Oct 07 13:37:15 MSK 2024","passed","Mon Oct 07 13:37:25 MSK 2024","","test_add_api_key","",""
"","2768","test_tutorial_flow8","tests","Mon Oct 07 13:36:34 MSK 2024","passed","Mon Oct 07 13:36:36 MSK 2024","","test_check_tutorial_flow","",""
"","9227","test_add_hunter","tests","Mon Oct 07 13:37:25 MSK 2024","broken","Mon Oct 07 13:37:35 MSK 2024","","test_add_api_key","",""
"","4003","test_create_flow","tests","Mon Oct 07 13:37:35 MSK 2024","passed","Mon Oct 07 13:37:39 MSK 2024","","test_create_delete_flow","",""
"","9188","test_add_reverse_contact","tests","Mon Oct 07 13:37:06 MSK 2024","broken","Mon Oct 07 13:37:15 MSK 2024","","test_add_api_key","",""
"","13559","test_new_con_snowflake","tests","Mon Oct 07 13:38:00 MSK 2024","passed","Mon Oct 07 13:38:13 MSK 2024","","test_create_external_connectors","",""
"","1670","test_rename_flow2","tests","Mon Oct 07 13:39:15 MSK 2024","broken","Mon Oct 07 13:39:17 MSK 2024","","test_rename_flow","",""
"","11800","test_add_apollo","tests","Mon Oct 07 13:36:54 MSK 2024","passed","Mon Oct 07 13:37:06 MSK 2024","","test_add_api_key","",""
"","6525","test_tutorial_flow2","tests","Mon Oct 07 13:35:57 MSK 2024","passed","Mon Oct 07 13:36:03 MSK 2024","","test_check_tutorial_flow","",""
"","18696","test_create_source_tabula_drive","tests","Mon Oct 07 13:38:13 MSK 2024","passed","Mon Oct 07 13:38:32 MSK 2024","","test_create_source","",""
"","5956","test_tutorial_flow7","tests","Mon Oct 07 13:36:28 MSK 2024","passed","Mon Oct 07 13:36:34 MSK 2024","","test_check_tutorial_flow","",""
"","30889","test_create_dota_flow","tests","Mon Oct 07 13:38:32 MSK 2024","passed","Mon Oct 07 13:39:03 MSK 2024","","test_dota_flow","",""
"","7031","test_tutorial_flow1","tests","Mon Oct 07 13:35:50 MSK 2024","broken","Mon Oct 07 13:35:57 MSK 2024","","test_check_tutorial_flow","",""
"","14394","test_new_con_postgres","tests","Mon Oct 07 13:37:46 MSK 2024","passed","Mon Oct 07 13:38:00 MSK 2024","","test_create_external_connectors","",""
