"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10368","test_external_source_create_postgres","tests","Mon Oct 07 18:08:06 MSK 2024","broken","Mon Oct 07 18:08:17 MSK 2024","","test_external_source_create","",""
"","13513","test_new_con_snowflake","tests","Mon Oct 07 18:09:33 MSK 2024","passed","Mon Oct 07 18:09:47 MSK 2024","","test_create_external_connectors","",""
"","6920","test_external_source_create_snowflake","tests","Mon Oct 07 18:08:17 MSK 2024","broken","Mon Oct 07 18:08:24 MSK 2024","","test_external_source_create","",""
"","5002","test_tutorial_flow5","tests","Mon Oct 07 18:07:47 MSK 2024","passed","Mon Oct 07 18:07:52 MSK 2024","","test_check_tutorial_flow","",""
"","7331","test_tutorial_flow3","tests","Mon Oct 07 18:07:33 MSK 2024","passed","Mon Oct 07 18:07:40 MSK 2024","","test_check_tutorial_flow","",""
"","10739","test_add_hunter","tests","Mon Oct 07 18:08:57 MSK 2024","passed","Mon Oct 07 18:09:08 MSK 2024","","test_add_api_key","",""
"","6991","test_rename_flow2","tests","Mon Oct 07 18:10:49 MSK 2024","passed","Mon Oct 07 18:10:56 MSK 2024","","test_rename_flow","",""
"","12235","test_create_enrich_flow","tests","Mon Oct 07 18:10:37 MSK 2024","broken","Mon Oct 07 18:10:49 MSK 2024","","test_enrich_flow","",""
"","6776","test_tutorial_flow4","tests","Mon Oct 07 18:07:40 MSK 2024","passed","Mon Oct 07 18:07:47 MSK 2024","","test_check_tutorial_flow","",""
"","14535","test_new_con_postgres","tests","Mon Oct 07 18:09:18 MSK 2024","passed","Mon Oct 07 18:09:33 MSK 2024","","test_create_external_connectors","",""
"","3901","test_create_flow","tests","Mon Oct 07 18:09:08 MSK 2024","passed","Mon Oct 07 18:09:12 MSK 2024","","test_create_delete_flow","",""
"","31466","test_create_dota_flow","tests","Mon Oct 07 18:10:05 MSK 2024","passed","Mon Oct 07 18:10:37 MSK 2024","","test_dota_flow","",""
"","6336","test_tutorial_flow2","tests","Mon Oct 07 18:07:27 MSK 2024","passed","Mon Oct 07 18:07:33 MSK 2024","","test_check_tutorial_flow","",""
"","5502","test_tutorial_flow6","tests","Mon Oct 07 18:07:52 MSK 2024","passed","Mon Oct 07 18:07:58 MSK 2024","","test_check_tutorial_flow","",""
"","4628","test_rename_node","tests","Mon Oct 07 18:10:56 MSK 2024","passed","Mon Oct 07 18:11:01 MSK 2024","","test_rename_flow","",""
"","11671","test_tutorial_flow1","tests","Mon Oct 07 18:07:15 MSK 2024","passed","Mon Oct 07 18:07:27 MSK 2024","","test_check_tutorial_flow","",""
"","5969","test_tutorial_flow7","tests","Mon Oct 07 18:07:58 MSK 2024","passed","Mon Oct 07 18:08:04 MSK 2024","","test_check_tutorial_flow","",""
"","2795","test_tutorial_flow8","tests","Mon Oct 07 18:08:04 MSK 2024","passed","Mon Oct 07 18:08:06 MSK 2024","","test_check_tutorial_flow","",""
"","10726","test_add_reverse_contact","tests","Mon Oct 07 18:08:36 MSK 2024","passed","Mon Oct 07 18:08:46 MSK 2024","","test_add_api_key","",""
"","11779","test_add_apollo","tests","Mon Oct 07 18:08:24 MSK 2024","passed","Mon Oct 07 18:08:36 MSK 2024","","test_add_api_key","",""
"","18736","test_create_source_tabula_drive","tests","Mon Oct 07 18:09:47 MSK 2024","passed","Mon Oct 07 18:10:05 MSK 2024","","test_create_source","",""
"","10732","test_add_contactout","tests","Mon Oct 07 18:08:46 MSK 2024","passed","Mon Oct 07 18:08:57 MSK 2024","","test_add_api_key","",""
"","6822","test_delete_flow","tests","Mon Oct 07 18:09:12 MSK 2024","passed","Mon Oct 07 18:09:18 MSK 2024","","test_create_delete_flow","",""
